degradation,method,image_count,total_time_sec,avg_time_ms,fps
low_light,global_he,169,0.46281450003152713,2.738547337464657,365.15709855349746
low_light,clahe_only,169,0.7403325000195764,4.3806656805892095,228.27580849892604
low_light,clahe_bilateral,169,7.050917899992783,41.72140769226498,23.968510539623924
low_light,proposed_final,169,6.936728700005915,41.04573195269772,24.36306900684409
fog,global_he,169,0.3219680999754928,1.9051366862455197,524.8967211747491
fog,clahe_only,169,0.5284428000450134,3.1268804736391327,319.8075553032502
fog,clahe_bilateral,169,6.774133800005075,40.08363195269275,24.947839087541112
fog,proposed_final,169,7.093244599993341,41.97186153842213,23.825486012446078
noise,global_he,169,0.33733599999686703,1.9960710058986213,500.9841819478786
noise,clahe_only,169,0.5357160000130534,3.1699171598405527,315.465657168877
noise,clahe_bilateral,169,6.804665400006343,40.26429230772984,24.83590155657653
noise,proposed_final,169,6.926867500005756,40.987381656838785,24.39775266379205
